"","Date","Close.Last","Volume","Open","High","Low","change","change_cat","moon","slash","plus","star","two","lunar","solar","flare"
"1276",2019-03-06,84.33,2534778,84.89,"$85.68","$84.265",0.560000000000002,1,0,0,0,0,0,0,0,0
"1277",2019-03-05,85.05,2779494,84.64,"$85.72","$83.82",-0.409999999999997,0,0,0,0,0,0,0,0,0
"1278",2019-03-04,84.31,4073497,87.1,"$87.24","$83.27",2.78999999999999,1,0,0,0,0,0,0,0,0
"1279",2019-03-01,86.92,3699441,88.46,"$88.62","$85.37",1.53999999999999,1,0,0,0,0,0,0,0,0
"1280",2019-02-28,87.81,1966375,87.9,"$88.70","$87.22",0.0900000000000034,1,0,0,0,0,0,0,0,0
"1281",2019-02-27,87.6,2459476,88.92,"$89.26","$86.84",1.32000000000001,1,0,0,0,0,0,0,0,0
"1282",2019-02-26,89.53,3845223,89.57,"$90.93","$89.04",0.039999999999992,1,0,0,0,0,0,0,0,0
"1283",2019-02-25,89.58,1573382,90.05,"$90.60","$89.38",0.469999999999999,1,0,0,0,0,0,0,0,0
"1284",2019-02-22,89.43,1907562,88.94,"$89.65","$88.65",-0.490000000000009,0,0,0,0,0,0,0,0,0
"1285",2019-02-21,88.84,1957929,88.37,"$89.45","$88.25",-0.469999999999999,0,0,0,0,0,0,0,0,0
"1286",2019-02-20,88.5,2656784,88.28,"$89.24","$87.29",-0.219999999999999,0,0,0,0,0,0,0,0,0
"1287",2019-02-19,89.24,2224227,87.87,"$89.82","$87.82",-1.36999999999999,0,1,0,0,0,0,0,0,0
"1288",2019-02-15,88.31,2229697,89.35,"$89.35","$88.11",1.03999999999999,1,0,0,0,0,0,0,0,0
"1289",2019-02-14,88.15,1482559,88.27,"$88.74","$87.50",0.11999999999999,1,0,0,0,0,0,0,0,0
"1290",2019-02-13,88.58,3676041,88.28,"$88.90","$87.94",-0.299999999999997,0,0,0,0,0,0,0,0,0
"1291",2019-02-12,87.97,2791361,89.89,"$90.2699","$87.88",1.92,1,0,0,0,0,0,0,0,0
"1292",2019-02-11,89.15,2347118,88.86,"$89.45","$88.17",-0.290000000000006,0,0,0,0,0,0,0,0,0
"1293",2019-02-08,88.17,2151792,87.34,"$88.19","$86.66",-0.829999999999998,0,0,0,0,0,0,0,0,0
"1294",2019-02-07,87.86,3116784,89.33,"$89.84","$87.67",1.47,1,0,0,0,0,0,0,0,0
"1295",2019-02-06,89.75,2144490,89.14,"$89.88","$88.41",-0.609999999999999,0,0,0,0,0,0,0,0,0
"1296",2019-02-05,89.46,2793537,88.72,"$89.82","$88.62",-0.739999999999995,0,0,0,0,0,0,0,0,0
"1297",2019-02-04,88.62,2376692,87.47,"$88.63","$87.28",-1.15000000000001,0,0,0,0,0,0,0,0,0
"1298",2019-02-01,87.49,1797238,87.21,"$88.57","$87.17",-0.280000000000001,0,0,0,0,0,0,0,0,0
"1299",2019-01-31,87.27,3418981,87.56,"$88.15","$86.785",0.290000000000006,1,0,0,0,0,0,0,0,0
"1300",2019-01-30,87.47,2348558,85.9,"$87.965","$85.545",-1.56999999999999,0,0,0,0,0,0,0,0,0
"1301",2019-01-29,85.67,2265104,84.7,"$85.76","$84.60",-0.969999999999999,0,0,0,0,0,0,0,0,0
"1302",2019-01-28,84.6,2754381,83.17,"$85.20","$83.10",-1.42999999999999,0,0,0,0,0,0,0,0,0
"1303",2019-01-25,84.14,4745121,84.7,"$85.17","$83.55",0.560000000000002,1,0,0,0,0,0,0,0,0
"1304",2019-01-24,84.03,4704666,84.5,"$85.69","$83.715",0.469999999999999,1,0,0,0,0,0,0,0,0
"1305",2019-01-23,82.88,3916282,83.7,"$84.9593","$82.63",0.820000000000007,1,0,0,0,0,0,0,0,0
"1306",2019-01-22,83.34,3320684,85.37,"$85.41","$82.89",2.03,1,0,0,0,0,0,0,0,0
"1307",2019-01-18,85.59,3789877,87.14,"$87.19","$85.55",1.55,1,0,0,0,0,0,0,0,0
"1308",2019-01-17,86.74,3569252,86.65,"$87.26","$85.53",-0.0899999999999892,0,0,0,0,0,0,0,0,0
"1309",2019-01-16,86.36,10825940,86.85,"$87.75","$85.56",0.489999999999995,1,0,0,0,0,0,0,0,0
"1310",2019-01-15,81.2,5803550,80.59,"$82.10","$80.0024",-0.609999999999999,0,0,0,0,0,0,0,0,0
"1311",2019-01-14,79.91,3941363,79.28,"$80.39","$78.68",-0.629999999999995,0,0,0,0,0,0,0,0,0
"1312",2019-01-11,80.07,4213067,80.68,"$80.97","$79.23",0.610000000000014,1,0,0,0,0,0,0,0,0
"1313",2019-01-10,81.37,7368072,80.73,"$81.79","$77.39",-0.640000000000001,0,0,0,0,0,0,0,0,0
"1314",2019-01-09,83.76,5297455,81.23,"$83.92","$81.23",-2.53,0,0,0,0,0,0,0,0,0
"1315",2019-01-08,82.38,3841929,83.3,"$84.62","$81.89",0.920000000000002,1,0,0,0,0,0,0,0,0
